Day,Date,Day Length (in minutes)
1,01-01-2022,471.2833333
2,02-01-2022,472.55
32,01-02-2022,471.2833333
33,02-02-2022,472.55
60,01-03-2022,656.1833333
61,02-03-2022,660.25
91,01-04-2022,783.05
92,02-04-2022,787.1333333
121,01-05-2022,900.8833333
122,02-05-2022,904.5333333
152,01-06-2022,992.9833333
153,02-06-2022,994.9166667
182,01-07-2022,1007.933333
183,02-07-2022,1006.816667
213,01-08-2022,935.7333333
214,02-08-2022,932.4333333
244,01-09-2022,820.8666667
245,02-09-2022,816.9166667
274,01-10-2022,700.1666667
275,02-10-2022,696.1333333
305,01-11-2022,578.5833333
306,02-11-2022,574.9166667
335,01-12-2022,487.1166667
336,02-12-2022,485.05
366,01-01-2023,471.0166667
367,02-01-2023,472.2166667
397,01-02-2023,548.1166667
398,02-02-2023,551.5833333
425,01-03-2023,655.2
426,02-03-2023,659.25
456,01-04-2023,782.0833333
457,02-04-2023,786.15
486,01-05-2023,899.9833333
487,02-05-2023,903.65
517,01-06-2023,992.5166667
518,02-06-2023,994.4666667
547,01-07-2023,1008.183333
548,02-07-2023,1007.1
578,01-08-2023,936.5333333
579,02-08-2023,933.2333333
609,01-09-2023,821.8333333
610,02-09-2023,817.8833333
